,subject,timepoint,event,region,signal
0,s13,18,stim,parietal,-0.017551581538
1,s5,14,stim,parietal,-0.0808829319505
2,s12,18,stim,parietal,-0.0810330187333
3,s11,18,stim,parietal,-0.0461343901751999
4,s10,18,stim,parietal,-0.0379702032642
5,s9,18,stim,parietal,-0.10351309616
6,s8,18,stim,parietal,-0.0644081947232
7,s7,18,stim,parietal,-0.0605262017124
8,s6,18,stim,parietal,-0.00702856091007
9,s5,18,stim,parietal,-0.0405568546157
10,s4,18,stim,parietal,-0.0488121999465999
11,s3,18,stim,parietal,-0.0471481458275
12,s2,18,stim,parietal,-0.0866229594917999
13,s1,18,stim,parietal,-0.0466590461638
14,s0,18,stim,parietal,-0.0755699759477
15,s13,17,stim,parietal,-0.00826462526111
16,s12,17,stim,parietal,-0.0885117501225
17,s7,9,stim,parietal,0.058896545297
18,s10,17,stim,parietal,-0.016846516627
19,s9,17,stim,parietal,-0.12157375579
20,s8,17,stim,parietal,-0.0762871207962
21,s7,17,stim,parietal,-0.0438120213819
22,s6,17,stim,parietal,-0.0147463892981
23,s5,17,stim,parietal,-0.0566820608044
24,s4,17,stim,parietal,-0.0445819008759
25,s3,17,stim,parietal,-0.0535140677471
26,s2,17,stim,parietal,-0.0772924001886
27,s1,17,stim,parietal,-0.0380205789406
28,s0,17,stim,parietal,-0.0713003853978
29,s13,16,stim,parietal,-0.00285629387119
30,s12,16,stim,parietal,-0.0899433633361
31,s11,16,stim,parietal,-0.0495870358338
32,s10,16,stim,parietal,-0.0135663176316
33,s9,16,stim,parietal,-0.131640690822
34,s8,16,stim,parietal,-0.0930243109477
35,s7,16,stim,parietal,-0.0218971578269
36,s8,9,stim,parietal,0.170226886344
37,s5,16,stim,parietal,-0.0641378420404
38,s4,16,stim,parietal,-0.0474331683855
39,s3,16,stim,parietal,-0.0710224022162
40,s2,16,stim,parietal,-0.0649981692916999
41,s1,16,stim,parietal,-0.0613560305246
42,s0,16,stim,parietal,-0.0577150668782
43,s13,15,stim,parietal,-0.0109714632203
44,s12,15,stim,parietal,-0.0806979631713999
45,s11,15,stim,parietal,-0.0721121940471
46,s10,15,stim,parietal,-0.0288093048081
47,s9,15,stim,parietal,-0.134828403383
48,s8,15,stim,parietal,-0.112577596942
49,s7,15,stim,parietal,-0.00938312919114
50,s6,15,stim,parietal,-0.0687202252466999
51,s5,15,stim,parietal,-0.0705615378511
52,s4,15,stim,parietal,-0.0560310534918
53,s3,15,stim,parietal,-0.0907351815282
54,s2,15,stim,parietal,-0.0554618569331
55,s1,15,stim,parietal,-0.110742321796
56,s0,15,stim,parietal,-0.0530786647723
57,s13,14,stim,parietal,-0.0337133890149
58,s12,14,stim,parietal,-0.0682973367158
59,s11,14,stim,parietal,-0.114468830404
60,s10,14,stim,parietal,-0.0522877238724
61,s9,14,stim,parietal,-0.1302665983
62,s8,14,stim,parietal,-0.128447530062
63,s7,14,stim,parietal,-0.0151398384821
64,s6,14,stim,parietal,-0.0988446335535
65,s11,17,stim,parietal,-0.041960488856
66,s4,14,stim,parietal,-0.0639904071723
67,s0,0,stim,frontal,-0.0214524594615
68,s3,14,stim,parietal,-0.110040787828
69,s1,14,stim,parietal,-0.169311681158
70,s0,14,stim,parietal,-0.0524187515342
71,s13,13,stim,parietal,-0.0686374735514
72,s12,13,stim,parietal,-0.056306337975
73,s11,13,stim,parietal,-0.157834186994
74,s10,13,stim,parietal,-0.0738923487842
75,s9,13,stim,parietal,-0.119383455482
76,s8,13,stim,parietal,-0.1239496932
77,s7,13,stim,parietal,-0.030026322192
78,s6,13,stim,parietal,-0.133170667646
79,s5,13,stim,parietal,-0.0949707046582
80,s4,13,stim,parietal,-0.0747598671492
81,s3,13,stim,parietal,-0.1165517168
82,s2,13,stim,parietal,-0.0526557373357
83,s1,13,stim,parietal,-0.224351323052
84,s1,0,stim,parietal,-0.064454004861
85,s13,12,stim,parietal,-0.100984175249
86,s12,12,stim,parietal,-0.0522953046329
87,s11,12,stim,parietal,-0.178509701862
88,s10,12,stim,parietal,-0.0872324138456999
89,s9,12,stim,parietal,-0.0977889956938
90,s8,12,stim,parietal,-0.0925108486782
91,s7,12,stim,parietal,-0.0403852425182
92,s6,12,stim,parietal,-0.150693428305
93,s5,12,stim,parietal,-0.11049636909
94,s4,12,stim,parietal,-0.0900360515443
95,s3,12,stim,parietal,-0.0913009509384
96,s2,12,stim,parietal,-0.056376647172
97,s1,12,stim,parietal,-0.25548585958
98,s0,12,stim,parietal,-0.0529114831434
99,s13,11,stim,parietal,-0.11257541213
100,s12,11,stim,parietal,-0.0566284477074
101,s11,11,stim,parietal,-0.150709342539
102,s10,11,stim,parietal,-0.0780802842964
103,s9,11,stim,parietal,-0.072241225574
104,s8,11,stim,parietal,-0.0280246228922
105,s7,11,stim,parietal,-0.0309911807764
106,s6,11,stim,parietal,-0.134795422743
107,s5,11,stim,parietal,-0.120694930753
108,s4,11,stim,parietal,-0.12854654313
109,s3,11,stim,parietal,-0.0232737328152
110,s2,11,stim,parietal,-0.0734168172716
111,s1,11,stim,parietal,-0.238473764277
112,s0,11,stim,parietal,-0.0514694724514
113,s13,10,stim,parietal,-0.0745026100443
114,s12,10,stim,parietal,-0.0669700192247
115,s11,10,stim,parietal,-0.072780476678
116,s10,10,stim,parietal,-0.0417023096317
117,s9,10,stim,parietal,-0.0323796382167
118,s8,10,stim,parietal,0.0651975099421
119,s7,10,stim,parietal,0.00164849110583
120,s6,10,stim,parietal,-0.0754333889525
121,s5,10,stim,parietal,-0.114761917544
122,s4,10,stim,parietal,-0.15265246158
123,s3,10,stim,parietal,0.0892314787638
124,s2,10,stim,parietal,-0.0876876805188
125,s1,10,stim,parietal,-0.1330409933269999
126,s0,10,stim,parietal,-0.0479149730158
127,s13,9,stim,parietal,0.0132453345685
128,s12,9,stim,parietal,-0.0623350210256
129,s11,9,stim,parietal,0.0454185313729
130,s10,9,stim,parietal,0.0310064467776
131,s9,9,stim,parietal,0.029052961628
132,s2,14,stim,parietal,-0.0528745299501
133,s6,9,stim,parietal,0.00901740401094
134,s7,3,stim,parietal,0.00954793068239
135,s0,7,stim,parietal,0.0743427528433
136,s3,9,stim,parietal,0.22171613873
137,s2,9,stim,parietal,-0.082613396203
138,s1,9,stim,parietal,0.0578917638804
139,s0,9,stim,parietal,-0.0355869971125
140,s13,8,stim,parietal,0.130991047051
141,s12,8,stim,parietal,-0.0275774798409
142,s11,8,stim,parietal,0.169673297351
143,s10,8,stim,parietal,0.136290736966
144,s9,8,stim,parietal,0.121580532588
145,s8,8,stim,parietal,0.263207487992
146,s7,8,stim,parietal,0.13317559373
147,s6,8,stim,parietal,0.112147204561
148,s5,8,stim,parietal,0.00680513539806
149,s4,8,stim,parietal,0.017534785968
150,s3,8,stim,parietal,0.337143297554
151,s6,2,stim,parietal,-0.0307806076045
152,s1,8,stim,parietal,0.29463915742
153,s0,8,stim,parietal,0.00510065001767
154,s13,7,stim,parietal,0.240747073686
155,s12,7,stim,parietal,0.0501726783253
156,s11,7,stim,parietal,0.254042321237
157,s10,7,stim,parietal,0.245641759705
158,s9,7,stim,parietal,0.23823081562
159,s8,7,stim,parietal,0.312811033675
160,s7,7,stim,parietal,0.198789642958
161,s6,7,stim,parietal,0.214479570066
162,s5,7,stim,parietal,0.119176862322
163,s4,7,stim,parietal,0.220448524592
164,s3,7,stim,parietal,0.39046573376
165,s2,7,stim,parietal,0.0457436269453
166,s1,7,stim,parietal,0.494786865197
167,s4,9,stim,parietal,-0.114241981967
168,s13,6,stim,parietal,0.291884318776
169,s12,5,stim,parietal,0.248138009448
170,s2,6,stim,frontal,0.101050432206
171,s1,6,stim,parietal,0.564984721448
172,s2,6,stim,parietal,0.143436119997
173,s3,6,stim,parietal,0.340479918138
174,s4,6,stim,parietal,0.405840057028
175,s5,6,stim,parietal,0.221492883278
176,s12,6,stim,parietal,0.157799926472
177,s7,6,stim,parietal,0.218061194469
178,s8,6,stim,parietal,0.298009042033
179,s9,6,stim,parietal,0.345918074368
180,s10,6,stim,parietal,0.296960232897
181,s11,6,stim,parietal,0.262771101488
182,s0,6,stim,parietal,0.143093371757
183,s6,6,stim,parietal,0.270955810073
184,s13,5,stim,parietal,0.252627264341
185,s6,5,stim,parietal,0.239175097834
186,s11,5,stim,parietal,0.194215001153
187,s10,5,stim,parietal,0.253871308297
188,s9,5,stim,parietal,0.381495102897
189,s8,5,stim,parietal,0.212854836433
190,s7,5,stim,parietal,0.177629510785
191,s5,5,stim,parietal,0.260057069236
192,s4,5,stim,parietal,0.460896318187
193,s3,5,stim,parietal,0.19918833824
194,s2,5,stim,parietal,0.209354958128
195,s1,5,stim,parietal,0.476055495497
196,s0,5,stim,parietal,0.175531697606
197,s13,4,stim,parietal,0.136219459793
198,s12,4,stim,parietal,0.261283304881
199,s2,8,stim,parietal,-0.0374066054162
200,s11,4,stim,parietal,0.0871751702674
201,s7,2,stim,parietal,-0.0348741834216
202,s4,2,stim,parietal,-0.0281087303981
203,s8,4,stim,parietal,0.0931813640265
204,s7,4,stim,parietal,0.0933092582309
205,s6,4,stim,parietal,0.136847472437
206,s5,4,stim,parietal,0.208112190773
207,s4,4,stim,parietal,0.346774672362
208,s3,4,stim,parietal,0.0278785465127
209,s2,4,stim,parietal,0.196461030367
210,s1,4,stim,parietal,0.287293980823
211,s0,4,stim,parietal,0.154057883361
212,s13,3,stim,parietal,0.00841751428481
213,s12,3,stim,parietal,0.185581486022
214,s11,3,stim,parietal,-0.0101379858559
215,s10,3,stim,parietal,0.0458383526337
216,s9,3,stim,parietal,0.164445987706
217,s10,4,stim,parietal,0.143985648987
218,s8,3,stim,parietal,-0.00612280734889
219,s6,3,stim,parietal,0.0275623648356
220,s5,3,stim,parietal,0.0927117312126
221,s4,3,stim,parietal,0.141458050647
222,s3,3,stim,parietal,-0.08970777078
223,s2,3,stim,parietal,0.108915570222
224,s1,3,stim,parietal,0.0922207832283
225,s0,3,stim,parietal,0.0863989229388
226,s13,2,stim,parietal,-0.0629159068465999
227,s12,2,stim,parietal,0.0772772101448
228,s11,2,stim,parietal,-0.0590890319945
229,s10,2,stim,parietal,0.0117514891824
230,s9,2,stim,parietal,0.0406201814079
231,s8,2,stim,parietal,-0.0499640186404
232,s5,2,stim,parietal,-0.0174990444292
233,s3,2,stim,parietal,-0.11056526279
234,s9,4,stim,parietal,0.307250437048
235,s2,2,stim,parietal,0.00879137477466
236,s1,2,stim,parietal,-0.0351533913543
237,s0,2,stim,parietal,0.00964152991767
238,s13,1,stim,parietal,-0.0642564530879
239,s12,1,stim,parietal,0.010624696534
240,s11,1,stim,parietal,-0.0593541448572
241,s10,1,stim,parietal,0.0298221982646
242,s9,1,stim,parietal,-0.0127649638126
243,s8,1,stim,parietal,-0.0495315318358
244,s7,1,stim,parietal,-0.0238826223038
245,s6,1,stim,parietal,-0.0373259336173
246,s5,1,stim,parietal,-0.0639066373872
247,s4,1,stim,parietal,-0.0821743580403999
248,s3,1,stim,parietal,-0.0614603544278
249,s2,1,stim,parietal,-0.0420866174374
250,s1,1,stim,parietal,-0.0744017875989
251,s0,1,stim,parietal,-0.0357352139038
252,s13,0,stim,parietal,-0.0424666030737
253,s12,0,stim,parietal,0.00335775487784
254,s11,0,stim,parietal,-0.0446339217791
255,s10,0,stim,parietal,0.0526185471798
256,s9,0,stim,parietal,-0.0183692770271
257,s8,0,stim,parietal,-0.0343397320837
258,s7,0,stim,parietal,0.00408135609976
259,s6,0,stim,parietal,-0.0233191548807
260,s5,0,stim,parietal,-0.0512277101955
261,s4,0,stim,parietal,-0.0488685047508
262,s3,0,stim,parietal,-0.00857603635283
263,s2,0,stim,parietal,-0.0344071864202
264,s5,9,stim,parietal,-0.0748428067959
265,s0,13,stim,parietal,-0.0552636807276999
266,s6,16,stim,parietal,-0.0399507842108
267,s10,4,stim,frontal,0.0300440528842
268,s11,4,stim,frontal,0.075957371738
269,s3,0,stim,frontal,0.0110564879557
270,s4,0,stim,frontal,-0.0175155017738
271,s5,0,stim,frontal,-0.0229773510382
272,s6,0,stim,frontal,-0.00794660736514
273,s7,0,stim,frontal,-0.0208637774128
274,s8,0,stim,frontal,0.01885189399
275,s9,0,stim,frontal,0.00288790240614
276,s10,0,stim,frontal,0.0743989963727
277,s11,0,stim,frontal,-0.028422663656
278,s12,0,stim,frontal,0.0383924609177
279,s13,0,stim,frontal,-0.0382661560354
280,s0,1,stim,frontal,-0.0210536291102
281,s1,1,stim,frontal,-0.0602726368389
282,s2,1,stim,frontal,-0.036432999521
283,s3,1,stim,frontal,-0.0102617412665
284,s1,0,stim,frontal,-0.0460485902002
285,s5,1,stim,frontal,-0.0271789021177
286,s6,1,stim,frontal,0.00956665177569
287,s7,1,stim,frontal,-0.0235255792331
288,s8,1,stim,frontal,-0.00923150443538
289,s9,1,stim,frontal,-0.0056164258793199
290,s10,1,stim,frontal,0.0635584004637
291,s11,1,stim,frontal,-0.0462346147549
292,s12,1,stim,frontal,0.0447695772963
293,s13,1,stim,frontal,-0.0464925630129
294,s0,2,stim,frontal,-0.00903763731098
295,s1,2,stim,frontal,-0.0375198109288
296,s2,2,stim,frontal,-0.0107439374483
297,s3,2,stim,frontal,-0.0573062927735
298,s4,2,stim,frontal,-0.0227629589625
299,s5,2,stim,frontal,0.00383564210338
300,s6,2,stim,frontal,0.025363154735
301,s7,2,stim,frontal,0.00179510893658
302,s8,2,stim,frontal,-0.0425319036155
303,s9,2,stim,frontal,-0.0144415260014
304,s10,2,stim,frontal,0.0308917221226
305,s11,2,stim,frontal,-0.0551536585187
306,s12,2,stim,frontal,0.0750666129231
307,s13,2,stim,frontal,-0.0242307031151
308,s0,3,stim,frontal,0.026726699906
309,s1,3,stim,frontal,0.0575983739279
310,s2,3,stim,frontal,0.0574609669929
311,s3,3,stim,frontal,-0.0752133559724999
312,s4,3,stim,frontal,0.120453727716
313,s5,3,stim,frontal,0.0866294054154999
314,s6,3,stim,frontal,0.0611197845412
315,s7,3,stim,frontal,0.0640016003297
316,s8,3,stim,frontal,-0.0470322474365
317,s9,3,stim,frontal,0.00206339929542
318,s10,3,stim,frontal,0.00959870090631
319,s11,3,stim,frontal,-0.0149878467224
320,s12,3,stim,frontal,0.112746171369
321,s13,3,stim,frontal,0.0483176784389
322,s0,4,stim,frontal,0.0705575292618
323,s1,4,stim,frontal,0.202122689315
324,s2,4,stim,frontal,0.128158046374
325,s3,4,stim,frontal,-0.00183480915545
326,s4,4,stim,frontal,0.324264821523
327,s5,4,stim,frontal,0.186011726948
328,s6,4,stim,frontal,0.134851244769
329,s7,4,stim,frontal,0.133497394423
330,s8,4,stim,frontal,-0.0120831656004
331,s9,4,stim,frontal,0.0406362199858
332,s4,1,stim,frontal,-0.0505230209634
333,s12,4,stim,frontal,0.123049682451
334,s9,9,stim,frontal,-0.0965646954787
335,s13,4,stim,frontal,0.147685336045
336,s1,5,stim,frontal,0.31585962119
337,s2,5,stim,frontal,0.149879208805
338,s3,5,stim,frontal,0.147985329126
339,s4,5,stim,frontal,0.455574818936
340,s5,5,stim,frontal,0.236025401676
341,s6,5,stim,frontal,0.21348405273
342,s7,5,stim,frontal,0.1761607068279999
343,s8,5,stim,frontal,0.0428114482292
344,s9,5,stim,frontal,0.0589526395155
345,s10,5,stim,frontal,0.0727310324172
346,s11,5,stim,frontal,0.160734983232
347,s12,5,stim,frontal,0.0910269415202
348,s13,5,stim,frontal,0.211232397262
349,s0,6,stim,frontal,0.0594361419351999
350,s1,6,stim,frontal,0.321334601283
351,s0,5,stim,frontal,0.0853869967994
352,s3,6,stim,frontal,0.282221579706
353,s4,6,stim,frontal,0.410660972614
354,s5,6,stim,frontal,0.196370293043
355,s6,6,stim,frontal,0.246783997558
356,s7,6,stim,frontal,0.171116812089
357,s8,6,stim,frontal,0.0861197747276
358,s9,6,stim,frontal,0.0328062245407
359,s10,6,stim,frontal,0.0922449532541
360,s11,6,stim,frontal,0.176109444388
361,s12,6,stim,frontal,0.0327580046721
362,s13,6,stim,frontal,0.195928278229
363,s0,7,stim,frontal,0.00799326090472
364,s1,7,stim,frontal,0.204943330683
365,s2,0,stim,frontal,-0.0169852108573
366,s3,7,stim,frontal,0.319009013543
367,s4,7,stim,frontal,0.218513616025
368,s5,7,stim,frontal,0.0882249473836
369,s6,7,stim,frontal,0.203884103647
370,s7,7,stim,frontal,0.12677769874
371,s8,7,stim,frontal,0.102758652532
372,s9,7,stim,frontal,-0.0182161587995
373,s10,7,stim,frontal,0.071110215695
374,s11,7,stim,frontal,0.100876282424
375,s12,7,stim,frontal,-0.0155974400049
376,s13,7,stim,frontal,0.114907370649
377,s0,8,stim,frontal,-0.0427929064619
378,s1,8,stim,frontal,0.0366848710068
379,s2,8,stim,frontal,-0.0573023501457
380,s3,8,stim,frontal,0.248302107034
381,s4,8,stim,frontal,0.0109629220321
382,s5,8,stim,frontal,-0.0257432068711
383,s6,8,stim,frontal,0.10875302066
384,s7,8,stim,frontal,0.0665348868349
385,s8,8,stim,frontal,0.0875068441963
386,s9,8,stim,frontal,-0.0670740370935
387,s10,8,stim,frontal,0.0282991931797
388,s11,8,stim,frontal,-0.0173469329493
389,s12,8,stim,frontal,-0.0415716689544
390,s13,8,stim,frontal,0.0135711839707
391,s0,9,stim,frontal,-0.0701018031155
392,s1,9,stim,frontal,-0.0927676486495
393,s2,9,stim,frontal,-0.0861001606332
394,s3,9,stim,frontal,0.127788732332
395,s4,9,stim,frontal,-0.108728887449
396,s5,9,stim,frontal,-0.0973762762409
397,s6,9,stim,frontal,0.00861663702354
398,s7,9,stim,frontal,0.0121323837445
399,s8,9,stim,frontal,0.0468268440164
400,s2,7,stim,frontal,0.0147630317538
401,s10,9,stim,frontal,-0.00273381445136
402,s12,10,stim,frontal,-0.0435940061136
403,s12,9,stim,frontal,-0.047257276732
404,s13,9,stim,frontal,-0.0680502491073
405,s0,10,stim,frontal,-0.0604329894039
406,s1,10,stim,frontal,-0.14330215024
407,s2,10,stim,frontal,-0.0759355234177
408,s3,10,stim,frontal,0.0125251224024
409,s4,10,stim,frontal,-0.132442083726
410,s5,10,stim,frontal,-0.118450927525
411,s6,10,stim,frontal,-0.0759612307381
412,s7,10,stim,frontal,-0.0249420254045
413,s8,10,stim,frontal,-0.00869981640303
414,s9,10,stim,frontal,-0.101177843264
415,s10,10,stim,frontal,-0.0153564272798
416,s11,10,stim,frontal,-0.159771972051
417,s13,10,stim,frontal,-0.110284644256
418,s6,14,stim,frontal,-0.0885113782451
419,s0,11,stim,frontal,-0.0261040613509
420,s1,11,stim,frontal,-0.133646550056
421,s2,11,stim,frontal,-0.049446353537
422,s3,11,stim,frontal,-0.0675200493551
423,s4,11,stim,frontal,-0.107947321225
424,s5,11,stim,frontal,-0.103936816793
425,s6,11,stim,frontal,-0.138152435253
426,s7,11,stim,frontal,-0.0425787763138
427,s8,11,stim,frontal,-0.060692043695
428,s9,11,stim,frontal,-0.0927582331524
429,s10,11,stim,frontal,-0.0201101808428
430,s11,11,stim,frontal,-0.15456374771
431,s12,11,stim,frontal,-0.0353774985791
432,s0,12,stim,frontal,0.00306715009204
433,s13,11,stim,frontal,-0.114215411267
434,s1,12,stim,frontal,-0.093410707637
435,s4,14,stim,frontal,-0.0706921364543
436,s2,12,stim,frontal,-0.0270124417059
437,s9,15,stim,frontal,-0.0480074675662
438,s4,12,stim,frontal,-0.0804438088945
439,s5,12,stim,frontal,-0.0795380517233999
440,s6,12,stim,frontal,-0.155545872019
441,s7,12,stim,frontal,-0.0424750871063
442,s8,12,stim,frontal,-0.0968252969745
443,s9,12,stim,frontal,-0.0836627537109
444,s10,12,stim,frontal,-0.019424671253
445,s11,12,stim,frontal,-0.115368780071
446,s12,12,stim,frontal,-0.0326156562009
447,s13,12,stim,frontal,-0.0900874242966
448,s0,13,stim,frontal,0.00332982586024
449,s1,13,stim,frontal,-0.0527141572176
450,s2,13,stim,frontal,-0.0160922681537999
451,s3,13,stim,frontal,-0.107386192502
452,s4,13,stim,frontal,-0.0712268148965
453,s5,13,stim,frontal,-0.0546139708001
454,s6,13,stim,frontal,-0.132768265808
455,s7,13,stim,frontal,-0.0261645978151
456,s8,13,stim,frontal,-0.109370504289
457,s9,13,stim,frontal,-0.0754838061033
458,s10,13,stim,frontal,-0.0137401688662
459,s11,13,stim,frontal,-0.0652446872829
460,s12,13,stim,frontal,-0.0326627425606
461,s13,13,stim,frontal,-0.055233993508
462,s0,14,stim,frontal,-0.00269970487539
463,s1,14,stim,frontal,-0.0210033263802
464,s2,14,stim,frontal,-0.0104289492969
465,s3,14,stim,frontal,-0.090362563636
466,s5,14,stim,frontal,-0.0376963150522
467,s3,12,stim,frontal,-0.103477352397
468,s7,14,stim,frontal,-0.000925176693984
469,s10,16,stim,frontal,-0.00305701500629
470,s9,14,stim,frontal,-0.061817137103
471,s10,14,stim,frontal,-0.0071620233331
472,s11,14,stim,frontal,-0.0295578107635
473,s12,14,stim,frontal,-0.0397865885476
474,s13,14,stim,frontal,-0.0225059258220999
475,s0,15,stim,frontal,-0.0119660179605
476,s1,15,stim,frontal,-0.00513411267168
477,s2,15,stim,frontal,-0.0138457018672
478,s3,15,stim,frontal,-0.063136252215
479,s4,15,stim,frontal,-0.0709368968741
480,s5,15,stim,frontal,-0.0280269918087
481,s6,15,stim,frontal,-0.040139364069
482,s11,9,stim,frontal,-0.114304263592
483,s8,15,stim,frontal,-0.0848246341162
484,s10,15,stim,frontal,-0.00411803725385
485,s11,15,stim,frontal,-0.0169066262597
486,s12,15,stim,frontal,-0.0496887494108
487,s13,15,stim,frontal,-7.56480581685e-05
488,s0,16,stim,frontal,-0.0213990846195
489,s1,16,stim,frontal,-0.0027187873155
490,s2,16,stim,frontal,-0.0306336275507
491,s3,16,stim,frontal,-0.0340231130191
492,s4,16,stim,frontal,-0.0659392304028999
493,s5,16,stim,frontal,-0.0268117820996
494,s6,16,stim,frontal,-0.00292560331781
495,s7,16,stim,frontal,0.0143006991188
496,s8,16,stim,frontal,-0.0645095884049
497,s9,16,stim,frontal,-0.0367394383882
498,s0,17,stim,frontal,-0.0393222656115
499,s8,14,stim,frontal,-0.102197957935
500,s7,15,stim,frontal,0.015163029763
501,s11,16,stim,frontal,-0.0207952752934
502,s2,18,stim,frontal,-0.0584709784691999
503,s12,16,stim,frontal,-0.0594620218643
504,s2,17,stim,frontal,-0.0490784875502
505,s3,17,stim,frontal,-0.0144004460979
506,s4,17,stim,frontal,-0.0625056570924
507,s5,17,stim,frontal,-0.0299207089612
508,s6,17,stim,frontal,0.0385751908208
509,s7,17,stim,frontal,0.00121181141337
510,s8,17,stim,frontal,-0.0426573904883
511,s9,17,stim,frontal,-0.0300992820085
512,s11,17,stim,frontal,-0.025345201288
513,s12,17,stim,frontal,-0.0601343617828
514,s13,17,stim,frontal,0.0234939806648
515,s0,18,stim,frontal,-0.0484297385322
516,s1,18,stim,frontal,-0.0358524284888
517,s10,17,stim,frontal,-0.00457116262107
518,s3,18,stim,frontal,-0.0109204163368
519,s9,18,stim,frontal,-0.00995933986682
520,s1,17,stim,frontal,-0.0156858610107
521,s0,0,stim,parietal,-0.0393266005945
522,s13,18,stim,frontal,0.0244253694066
523,s12,18,stim,frontal,-0.0623323445862
524,s11,18,stim,frontal,-0.0307844658374
525,s10,18,stim,frontal,-0.00892838562082
526,s13,16,stim,frontal,0.0140854627305
527,s8,18,stim,frontal,-0.0111144370761
528,s6,18,stim,frontal,0.0464997185079
